"id","subject","stem","A","B","C","D","E","correct","explanation"
"12","ovarian_masses","A 17-year-old has a large multiloculated ovarian cyst with thick septations; CA 19-9 is elevated; AFP/hCG/CA-125 are normal. Which staging principle applies if an epithelial mucinous tumor is suspected?","FIGO staging (omentectomy, peritoneal biopsies, nodal sampling) is often applied, though pediatric evidence is limited","COG germ cell staging applies","No staging if CA-125 is normal","Routine bilateral oophorectomy is recommended","Sentinel lymph node biopsy is mandatory","A","Correct answer: A — Apply FIGO-style staging when epithelial malignancy is suspected, acknowledging limited pediatric data.
Rationale: Adolescents with suspected epithelial tumors are frequently staged per FIGO principles (washings, omentectomy, peritoneal biopsies ± nodal sampling) when malignancy is a concern. Individualize to preserve fertility when safe.
Incorrect options: COG staging (B) is for GCT. Normal CA-125 (C) does not exclude malignancy. Bilateral oophorectomy (D) is not standard. Sentinel mapping (E) is not established.
Key point: Tailor staging to intraoperative findings and final pathology."
"13","ovarian_masses","An 8-year-old girl presents with vaginal bleeding and a large complex ovarian mass. Which marker and behavior are most characteristic?","Inhibin; juvenile granulosa cell tumors may recur early and can be aggressive","CA 19-9; benign course is typical","AFP; chemotherapy is never indicated","LDH; dysgerminoma is expected","beta-hCG; choriocarcinoma predominates","A","Correct answer: A — Inhibin; juvenile granulosa cell tumor behavior can be aggressive with early recurrence.
Rationale: Granulosa-stromal tumors often present with isosexual pseudoprecocity. Inhibin is a useful marker. Complete resection with staging is primary treatment; adjuvant platinum-based therapy considered for advanced/ruptured disease.
Incorrect options: CA 19-9 (B) aligns with mucinous epithelial tumors; AFP (C) is for yolk sac; LDH (D) relates to dysgerminoma; hCG (E) suggests choriocarcinoma.
Clinical: Evaluate endometrial effects of estrogen exposure."
"14","ovarian_masses","A 9-year-old has ovarian torsion with a cystic teratoma; the ovary is hemorrhagic and planes are indistinct. Best ovarian-preserving approach?","Complete oophorectomy","Hilar wedge resection if classic enucleation planes are obliterated","Blind cyst aspiration","Second-look surgery in 48 hours","Hysterectomy","B","Correct answer: B — Hilar wedge resection to preserve viable parenchyma.
Rationale: After detorsion, if edema obscures planes, a limited wedge resection may remove the lesion while preserving tissue. Many reperfused ovaries recover. Final pathology and markers dictate further care.
Incorrect options: Oophorectomy (A) is often avoidable; aspiration (C) risks spill; planned second look (D) is unnecessary; hysterectomy (E) is never indicated.
Follow-up: Ultrasound demonstrates recovery of ovarian volume/function over months."
"15","ovarian_masses","Stage I malignant teratoma resected with salpingo-oophorectomy in a 13-year-old; AFP normalizes post-op. Optimal surveillance?","No surveillance after normalization","Quarterly AFP levels with exam/imaging as indicated; recurrences are salvageable with platinum-based chemotherapy","Immediate adjuvant chemotherapy for all stage I cases","Annual CA-125 levels only","Monthly PET/CT scans for two years","B","Correct answer: B — Marker-based surveillance.
Rationale: Many pediatric stage I malignant teratomas are managed with surgery alone plus close AFP surveillance. Rising AFP heralds recurrence; early detection allows effective salvage (e.g., carboplatin/etoposide/bleomycin). Routine chemotherapy for all (C) over-treats.
Incorrect options: Skipping follow-up (A) risks delayed detection. CA-125 (D) is not relevant. PET/CT (E) adds radiation without proven benefit.
Plan: Define a schedule (e.g., every 3 months for year 1–2, then spacing out) with symptom-driven imaging."
"16","ovarian_masses","A 12-year-old with an incidental 4.5-cm simple ovarian cyst is asymptomatic; pregnancy test negative. Best management?","Immediate cystectomy","Expectant management with repeat ultrasound in 6–8 weeks","Start chemotherapy","CT to better characterize","Percutaneous aspiration under ultrasound guidance","B","Correct answer: B — Observation with interval ultrasound.
Rationale: Simple cysts <5–6 cm in asymptomatic adolescents are usually functional and resolve. Operate if persistent, enlarging, symptomatic, or complex.
Incorrect options: Surgery (A) is unnecessary; chemotherapy (C) irrelevant; CT (D) adds radiation without benefit; aspiration (E) has high recurrence and spill risk.
Algorithm: Negative pregnancy test, simple cyst, asymptomatic → observe."
"17","ovarian_masses","Which MRI feature is most characteristic of mature cystic teratoma (dermoid)?","Restricted diffusion within solid components","Uniform T2 hypointensity","Macroscopic fat with signal dropout on fat-suppressed sequences","Peripheral nodular enhancement","Marked ascites with peritoneal thickening","C","Correct answer: C — Macroscopic fat with fat-suppressed signal dropout.
Rationale: Dermoids contain macroscopic fat, hair, sebaceous material; MRI fat suppression confirms diagnosis. US may show echogenic foci with shadowing; CT shows fat and calcifications.
Incorrect options: Restricted diffusion (A) is nonspecific; T2 hypointensity (B) atypical; peripheral nodular enhancement (D) suggests hemangioma; ascites with peritoneal thickening (E) suggests malignancy.
Imaging pearl: Look for Rokitansky nodule and fat–fluid levels."
"18","ovarian_masses","During laparoscopic dermoid cystectomy, which technique best minimizes intraperitoneal spill?","Freehand cyst aspiration within the peritoneal cavity","Use of an endoscopic retrieval bag with controlled extracorporeal cystotomy if decompression needed","Allow cyst to desiccate in situ","Sharp curettage of the cyst wall","No special measures are necessary","B","Correct answer: B — Retrieval bag and controlled decompression.
Rationale: Containment prevents chemical peritonitis and glial seeding. If needed, decompress inside the bag, then extract. Copious irrigation for any spill.
Incorrect options: Intra-abdominal aspiration (A) risks spill; desiccation (C) and curettage (D) are inappropriate; dismissing spill (E) is unsafe practice.
Tip: Have large bags available and plan the extraction route before capsulotomy."
"19","ovarian_masses","A 16-year-old with a massive multiloculated ovarian cyst has elevated CA 19-9, normal AFP/beta-hCG/CA-125. Most likely tumor type?","Mucinous epithelial tumor (benign or borderline spectrum)","Dysgerminoma","Granulosa cell tumor","Yolk sac tumor","Thecoma","A","Correct answer: A — Mucinous epithelial tumor.
Rationale: CA 19-9 elevation with a giant multiloculated cyst favors mucinous pathology. Management includes controlled aspiration and containment to facilitate removal, followed by histologic classification (benign vs borderline vs carcinoma) to guide staging and surveillance.
Incorrect options: Dysgerminoma (B) may raise LDH; granulosa (C) is inhibin-positive; yolk sac (D) elevates AFP; thecoma (E) is hormonally active.
Follow-up: Track CA 19-9 trends only if elevated pre-op and correlate with imaging."
"20","ovarian_masses","Postoperative counseling after ovarian-sparing dermoid cystectomy should include which statement?","Future fertility is typically preserved with a substantial ovarian remnant","All patients require chemotherapy","Pregnancy is contraindicated for 5 years","Contralateral oophorectomy reduces recurrence risk","Oral contraceptives prevent recurrence","A","Correct answer: A — Fertility generally preserved.
Rationale: Preservation of normal parenchyma maintains endocrine function and fertility potential. Recurrence risk ipsilaterally is low; contralateral metachronous tumors occur in a minority; surveillance is appropriate.
Incorrect options: Chemotherapy (B) is not indicated; pregnancy restriction (C) is unnecessary; contralateral oophorectomy (D) is harmful; OCPs (E) do not prevent recurrence.
Counseling: Educate on symptoms of torsion and schedule periodic imaging."
"21","ovarian_masses","A 13-year-old has a 5.5-cm complex cyst with septations 2 weeks after menses; markers normal. Which is most accurate?","Hemorrhagic functional cyst cannot always be distinguished from neoplasm on ultrasound; MRI helps","Normal markers exclude malignancy","Immediate oophorectomy is indicated","Aspiration will confirm diagnosis and prevent recurrence","CA-125 level should decide between surgery and observation","A","Correct answer: A — MRI clarifies equivocal ultrasound in distinguishing hemorrhagic cysts from neoplasms.
Rationale: Sonographic overlap exists; MRI refines characterization and informs timing of surgery vs observation. Normal markers reduce but do not eliminate risk.
Incorrect options: Oophorectomy (C) is excessive; aspiration (D) risks spill/recurrence; CA-125 (E) lacks specificity in adolescents.
Plan: If MRI favors hemorrhagic cyst and symptoms are mild, observe with repeat imaging."
"22","ovarian_masses","During laparoscopy for suspected torsion, detorsion restores color; no discrete mass is seen. Best management now?","Terminate the procedure and follow with serial imaging; avoid blind resection","Wedge resection to reduce ovarian size","Oophorectomy to prevent recurrence","Blind cyst unroofing","Convert to laparotomy for exploration","A","Correct answer: A — Conservative management after detorsion without a mass.
Rationale: The ovary often recovers; blind resection sacrifices tissue unnecessarily. Postoperative imaging monitors resolution and identifies lesions that declare themselves as edema subsides.
Incorrect options: Wedge resection (B) or unroofing (D) without a lesion is inappropriate; oophorectomy (C) harms fertility; conversion (E) adds morbidity without benefit.
Follow-up: Ultrasound at 6–8 weeks to document recovery."
"23","ovarian_masses","A 13-year-old with prior stage I malignant teratoma now presents with recurrent peritoneal disease and AFP 2,000 ng/mL. Preferred systemic therapy?","Carboplatin, etoposide, and bleomycin (PEB)","Doxorubicin and ifosfamide","Methotrexate and vinblastine","Cyclophosphamide and topotecan","Imatinib","A","Correct answer: A — Platinum-based PEB regimen.
Rationale: Pediatric malignant ovarian germ cell tumors respond to platinum-based chemotherapy; PEB is a standard salvage regimen. Treatment is coordinated with pediatric oncology; AFP kinetics track response.
Incorrect options: The other regimens are not standard for ovarian GCT.
Care: Address fertility preservation counseling before therapy when feasible."
"24","ovarian_masses","Pathology from a large mucinous tumor in a 15-year-old shows epithelial proliferation with stratification and filiform papillae but no stromal invasion (>10% of tumor). Best diagnosis?","Benign mucinous cystadenoma","Borderline mucinous tumor","Invasive mucinous carcinoma","Immature teratoma","Granulosa cell tumor","B","Correct answer: B — Borderline mucinous tumor.
Rationale: Borderline tumors exhibit epithelial proliferation and atypia without stromal invasion. Management is complete resection with consideration of FIGO-style staging if malignancy suspected, and surveillance thereafter.
Incorrect options: Benign cystadenoma (A) lacks proliferation; invasive carcinoma (C) has stromal invasion; immature teratoma (D) is a germ cell tumor; granulosa (E) is sex cord–stromal and inhibin-positive.
Follow-up: Periodic imaging; marker trends (CA 19-9) only if elevated pre-op."
"25","ovarian_masses","In pediatric ovarian germ cell tumors, what is the recommended approach to lymph nodes?","Systematic pelvic and para-aortic lymphadenectomy in all patients","Sample or remove only clinically/radiographically suspicious nodes","Skip nodal assessment entirely","Perform sentinel lymph node mapping","Fine needle aspirate all pelvic nodes","B","Correct answer: B — Target suspicious nodes only.
Rationale: Pediatric staging emphasizes targeted assessment to limit morbidity; chemotherapy treats microscopic nodal disease effectively when present. Routine lymphadenectomy offers little benefit.
Incorrect options: Systematic dissection (A) reflects adult epithelial practice; skipping nodes (C) risks understaging; sentinel mapping (D) and blanket FNAs (E) are not standard.
Pearl: Thorough inspection remains essential; biopsy what is abnormal."
"26","ovarian_masses","Which scenario most strongly supports ovarian-sparing resection over salpingo-oophorectomy?","Classic dermoid with normal AFP/beta-hCG and no extra-ovarian disease","Solid mass with markedly elevated AFP","Mixed solid-cystic mass with high beta-hCG","Ruptured mass with glial implants and elevated AFP","Gross peritoneal implants on inspection","A","Correct answer: A — Benign-appearing dermoid with normal markers.
Rationale: Normal germ cell markers and classic imaging favor benign teratoma, for which preservation is standard. Marker elevation (B,C,D) or implants (E) suggest malignancy and favor oophorectomy with staging.
Decision rule: Benign imaging + normal markers → preserve; malignant features → oncologic resection."
"27","ovarian_masses","A 15-year-old with a giant mucinous ovarian cyst has tachypnea from mass effect. Which intraoperative strategy best facilitates safe removal?","Uncontrolled intra-abdominal puncture to decompress","Controlled aspiration with containment measures, then extraction","Percutaneous drainage days before surgery","Immediate hysterectomy with bilateral oophorectomy","Leave the tumor and give neoadjuvant chemotherapy","B","Correct answer: B — Controlled aspiration with containment.
Rationale: For giant mucinous tumors, controlled drainage (purse-string, suction, isolation) reduces volume and enables safe extraction while minimizing spillage/chemical peritonitis. Final pathology dictates staging and follow-up.
Incorrect options: Uncontrolled puncture (A) risks peritoneal contamination; pre-op drainage (C) is discouraged; hysterectomy (D) is excessive; neoadjuvant chemotherapy (E) lacks indication without proven malignancy.
Technique: Prepare suction traps and large retrieval bags; protect incision."
"28","ovarian_masses","Two weeks after dermoid cystectomy complicated by intraperitoneal spillage, a 16-year-old has abdominal pain and low-grade fevers. CT shows small-volume ascites with fat–fluid levels. Most likely diagnosis?","Bacterial peritonitis","Chemical peritonitis from sebaceous material","Pulmonary embolism","Bowel injury","Ovarian vein thrombosis","B","Correct answer: B — Chemical peritonitis due to dermoid contents.
Rationale: Spilled sebaceous material incites sterile inflammation; imaging may show fat–fluid levels. Management ranges from supportive care/NSAIDs to laparoscopic lavage if persistent.
Incorrect options: Bacterial peritonitis (A) typically has higher fevers and positive cultures; the other options (C–E) do not fit the imaging pattern.
Prevention: Strict containment, irrigation, and bag extraction."
"29","ovarian_masses","Which distribution best reflects the relative frequencies of ovarian tumor categories in children/adolescents?","Epithelial majority; germ cell minority; sex cord–stromal rare","Germ cell majority (~75–80%); epithelial ~15%; sex cord–stromal ~5%","Equal distribution among all three","Sex cord–stromal majority","Epithelial 50%, germ cell 40%, sex cord–stromal 10%","B","Correct answer: B — Germ cell tumors predominate in pediatrics.
Rationale: Unlike adults, pediatric ovarian neoplasms are mostly germ cell, with epithelial and sex cord–stromal less common. This epidemiology underlies the emphasis on germ cell markers and fertility-preserving surgery.
Incorrect options: The other distributions reflect adult patterns or are inaccurate.
Implication: Start with AFP/hCG ± CA-125/CA 19-9 based on imaging phenotype."
"30","ovarian_masses","Oral boards scenario: A 14-year-old with acute pelvic pain has an enlarged ovary and normal arterial Doppler flow on ultrasound. Best course and justification?","Reassure and discharge; normal Doppler excludes torsion","Admit and observe; repeat ultrasound tomorrow","Proceed to diagnostic laparoscopy because Doppler does not exclude torsion","Obtain MRI to better assess perfusion","Start anticoagulation for ovarian vein thrombosis","C","Correct answer: C — Diagnostic laparoscopy despite normal Doppler.
Rationale: Dual ovarian blood supply and intermittent torsion-detorsion produce false-negative Doppler exams. Given high clinical suspicion and organ salvage priorities, prompt laparoscopy is justified. Intraoperatively: detorse; avoid oophorectomy for color alone; perform washings if mass suspected; inspect peritoneal surfaces/omentum/diaphragm; preserve ovary when feasible.
Incorrect options: Discharge (A) or delay (B) risks organ loss; MRI (D) is unnecessary acutely; anticoagulation (E) is not indicated without thrombosis.
Exam tip: Use structured justification emphasizing time-sensitivity, diagnostic limits of Doppler, and fertility preservation."
