id,subject,stem,A,B,C,D,E,correct,explanation
19,Biliary Atresia,An infant initially achieves bilirubin normalization after Kasai but later shows a sudden bilirubin rise with pale stools and fever. Best next step?,Assume irreversible graft failure and list for transplant,Start broad‑spectrum antibiotics for possible cholangitis and reassess,Immediate revision of portoenterostomy in all cases,Stop feeds; begin TPN for 1 week,High‑dose corticosteroids for 14 days,B,"A **sudden rise in bilirubin** with fever and stool color change after initial clearance suggests **cholangitis** or, less commonly, a mechanical issue at the porta. First‑line management is **prompt antibiotics** and supportive care. 

If cholestasis persists despite appropriate therapy, further evaluation (including consideration of operative assessment) may be warranted, but blanket revision is not routinely beneficial."
20,Biliary Atresia,Which condition is most important to exclude early in the evaluation of an infant with cholestasis to avoid delaying BA diagnosis?,Choledochal cyst,Hypertrophic pyloric stenosis,Midgut volvulus,Hirschsprung disease,Intussusception,A,"**Choledochal cyst** can present with cholestasis and biliary obstruction in infancy and is typically distinguishable on ultrasound by **ductal dilation**. Early identification matters because its management and urgency differ from BA. 

Systematically excluding structural and metabolic mimics—while **maintaining momentum toward cholangiography** when suspicion remains—is central to efficient BA workup."
21,Biliary Atresia,Which statement best captures the philosophy of the BA diagnostic algorithm?,Tests should be sequential over months to avoid unnecessary procedures,"Because most tests have limited accuracy in isolation, the evaluation should be parallel and expeditious",A normal ultrasound excludes BA,A single normal liver test excludes BA,Delay invasive testing until 6 months of age if the infant is growing,B,"No single preoperative test has perfect accuracy for BA. The evaluation should proceed **expeditiously** and often **in parallel**, assembling multiple data points while avoiding delays that could push surgery beyond the optimal window. 

The algorithm emphasizes **timeliness** over prolonged stepwise waiting."
22,Biliary Atresia,Parents ask about expected outcomes after Kasai. Which counseling point is most accurate?,Most infants will clear jaundice within 2 weeks and half of those will enjoy long‑term biliary drainage,Kasai invariably cures BA; transplant is no longer needed,Kasai rarely improves bile flow; transplant is required in nearly all by 6 months,"Even with delayed surgery (>120 days), outcomes are equivalent if the surgeon is experienced",Postoperative stool color is not informative,A,"After Kasai, **pigmented stools within 2 weeks** indicate restored drainage in many infants. Roughly **two‑thirds** experience initial bile flow, and **about half** of those maintain **long‑term drainage**. Nevertheless, a significant fraction will ultimately require transplantation. 

Setting realistic expectations helps families understand both the potential for native‑liver survival and the need for long‑term follow‑up."
23,Biliary Atresia,An infant with suspected BA has polysplenia and malrotation on ultrasound. What additional perioperative step is prudent?,Schedule splenectomy,Defer cardiac evaluation until after Kasai,Plan for evaluation/correction of malrotation and a thorough cardiac workup,Avoid Ladd procedure due to risk of bile leak,Convert to liver transplant emergently,C,"Findings suggest **BASM** with **laterality defects**. These infants frequently have **cardiac anomalies** and **malrotation**, both of which influence anesthetic risk and surgical planning. 

A comprehensive perioperative plan should include **cardiac evaluation** and consideration of **Ladd procedure** when malrotation is present."
24,Biliary Atresia,Which statement about global incidence is true?,Incidence is uniform worldwide,"Some regions (e.g., parts of the Pacific) report higher incidence than Western Europe","Incidence is >1 in 1,000 worldwide",BA incidence is decreasing everywhere due to vaccination,BA affects preterm infants exclusively,B,"BA shows **geographic variation**: some Pacific/Asian regions report higher incidence compared with Western Europe/North America. Reported values span from roughly **1 in 20,000** to **3 in 10,000** live births depending on locale. 

Prematurity is not required; many affected infants are term with normal birth weight."
25,Biliary Atresia,"During exploration for suspected BA, cholangiogram shows no patent extrahepatic ducts. What is the most appropriate next step?",Abort and obtain postoperative MRI,Proceed directly to Kasai portoenterostomy,Place a percutaneous transhepatic biliary drain,Perform partial hepatectomy,Close and observe for 2 weeks,B,"When **operative cholangiogram confirms atresia**, the standard approach is to **proceed directly to Kasai hepatoportoenterostomy** in the same operation, assuming the patient is a candidate. 

Deferring treatment prolongs cholestasis and worsens outcomes."
26,Biliary Atresia,Which initial laboratory set is least helpful in the specific evaluation for BA?,Direct bilirubin and liver enzymes,Coagulation profile and basic metabolic panel,TORCH studies and α1‑antitrypsin level as indicated,Urinalysis and serum lipoprotein‑X when available,Serum amylase/lipase trend over 48 hours,E,"Early lab evaluation targets **cholestasis and synthetic function** and screens key metabolic/infectious causes (e.g., TORCH, α1‑antitrypsin). **Serum amylase/lipase** trends are not central to BA evaluation and would not meaningfully alter early management. 

Parallel labs paired with imaging keep the pathway moving toward a definitive diagnosis."
27,Biliary Atresia,A nonexcretory HIDA scan in a jaundiced infant most reliably indicates:,Biliary atresia is definitive,Severe cholestasis; BA cannot be confirmed without cholangiography,Normal biliary drainage,Pancreatic duct obstruction,Congenital hepatic fibrosis,B,"Nonexcretion on HIDA indicates **severe cholestasis** but is **not specific** for BA; other hepatocellular diseases can yield similar findings. Persisting clinical suspicion should lead to **cholangiography** for confirmation. 

Thus HIDA helps triage but does not obviate the need for definitive testing."
28,Biliary Atresia,Which concept best reflects native‑liver survival after Kasai?,"If jaundice clears early, many children can have years of transplant‑free survival",Native‑liver survival is unrelated to early bilirubin trends,Cleared jaundice usually relapses within 1 month in most patients,All children will need transplant by age 2 despite Kasai,Native‑liver survival depends only on center volume,A,"**Early clearance of jaundice** is associated with **better transplant‑free (native‑liver) survival**. While many children ultimately require transplant, a substantial subset with good early drainage achieve prolonged survival with their native liver. 

Center expertise matters, but patient factors and disease biology are also important determinants."
29,Biliary Atresia,Which practical bedside tool can help families and clinicians recognize concerning stool colors in early infancy?,Pain scales,Stool color cards for parental screening,Scoliosis screening cards,BMI growth nomograms,Apgar charts,B,"Public health programs in some regions use **stool color cards** to help parents identify **acholic stools** and prompt earlier medical evaluation for cholestasis/BA. Earlier recognition supports earlier referral and surgery, improving outcomes. 

While not universally implemented, such screening reflects the importance of stool color in early detection."
30,Biliary Atresia,A 6‑week‑old has direct hyperbilirubinemia and ultrasound without ductal dilation. HIDA is nonexcretory after phenobarbital. What is the most appropriate next step?,Defer further testing until 3 months if the infant is thriving,Start ursodeoxycholic acid and recheck bilirubin in 4 weeks,Proceed to cholangiography to definitively evaluate for BA,Assume neonatal hepatitis and observe,Obtain abdominal CT with contrast,C,"Given persistent cholestasis, supportive imaging, and **nonexcretory HIDA** after priming, the next step is **cholangiography** to establish or exclude BA definitively. 

Delaying invasive evaluation risks missing the optimal surgical window and adversely affects outcomes."
