"id","subject","stem","A","B","C","D","E","correct","explanation"
"11","Ovarian masses","Question: During laparoscopic cystectomy for a presumed dermoid in a 14-year-old, the cyst accidentally ruptures with sebaceous material spillage. What is the most appropriate intraoperative management?","Aggressive irrigation and suction with removal of dermoid contents; complete cyst wall excision; no peritoneal drains required","Convert to laparotomy for peritoneal lavage","Abort procedure and plan reoperation","Place intraperitoneal drains to prevent chemical peritonitis","","A","Correct Answer: A — Aggressive irrigation and suction with removal of dermoid contents; complete cyst wall excision; no peritoneal drains required

Reasoning: Accidental rupture of a benign dermoid can cause chemical peritonitis if sebaceous material remains. The correct response is thorough suction/irrigation, retrieval of all solid elements (hair, bone), and completion of the cystectomy. Drains are not routinely required if the peritoneal cavity is adequately cleaned.

Why others are wrong:  
• B: Conversion is rarely necessary solely for spillage; laparoscopy can manage contamination.  
• C: Aborting leaves irritant material; proceed to complete safe resection.  
• D: Drains do not prevent chemical peritonitis if debris remains; lavage is key.

Prevention: Use an endobag for cystectomy and specimen retrieval; minimize electrocautery on the cortex to preserve follicles. Follow-up for recurrence is warranted (recurrence ~3–5% after cystectomy).

Bottom Line/High Yield:
• Dermoid rupture → copious irrigation and complete wall excision.  
• Drains are not a substitute for adequate lavage.  
• Use endobags to prevent spillage.
"
"12","Ovarian masses","Question: A 9-year-old has a 7-cm complex ovarian cyst with septations and internal echoes; pain is intermittent. What is the best next step in diagnostic workup?","Obtain tumor markers (AFP, β-hCG, LDH ± inhibin/estradiol/testosterone) and pelvic MRI","Proceed directly to emergent surgery","Start antibiotics for presumed tubo-ovarian abscess","Schedule interval ultrasound in 6 months","","A","Correct Answer: A — Obtain tumor markers (AFP, β-hCG, LDH ± inhibin/estradiol/testosterone) and pelvic MRI

Reasoning: A complex cyst warrants further characterization and a marker panel to stratify malignancy risk. MRI helps distinguish hemorrhagic cyst, endometrioma, cystic neoplasm, or torsed cyst. Surgery is indicated if imaging/markers suggest neoplasm, symptoms escalate, or torsion is suspected clinically.

Why others are wrong:  
• B: Without signs of acute torsion, immediate surgery is premature; complete the workup.  
• C: TOA is uncommon pre-menarche; lack of systemic infection argues against empiric antibiotics.  
• D: Six months is too long; earlier evaluation guides timely management.

Workup algorithm: Ultrasound → if complex/solid, add markers and MRI → if benign features and improving symptoms, short-interval US; if concerning features or markers positive, proceed to surgery with fertility-sparing principles.

Bottom Line/High Yield:
• Complex cysts need markers and MRI to refine risk.  
• Time surgery to symptoms and oncologic risk.  
• Short-interval follow-up if benign features and improving.
"
"13","Ovarian masses","Question: A 15-year-old undergoes unilateral salpingo-oophorectomy for stage IC yolk sac tumor (capsule rupture at surgery). What is the standard postoperative oncologic management?","Adjuvant BEP chemotherapy","Observation with markers every 3 months","Radiation therapy to the pelvis","High-dose chemotherapy with stem cell rescue","","A","Correct Answer: A — Adjuvant BEP chemotherapy

Reasoning: Pediatric malignant ovarian germ cell tumors beyond stage IA typically receive adjuvant platinum-based chemotherapy (BEP: bleomycin, etoposide, cisplatin). Capsule rupture (stage IC) increases relapse risk; adjuvant chemotherapy improves event-free survival per pediatric cooperative group trials (e.g., COG/UKCCSG).

Why others are wrong:  
• B: Observation is reasonable for stage IA dysgerminoma or completely resected stage I teratoma, not yolk sac tumor with capsular violation.  
• C: Radiation is not standard for yolk sac tumor and has significant gonadal/organ toxicity.  
• D: High-dose therapy is reserved for relapse/refractory disease.

Follow-up: Serial AFP every 2–4 weeks initially until normalization, then at increasing intervals; imaging per protocol. Monitor for BEP toxicities (ototoxicity, nephrotoxicity, pulmonary with bleomycin). Fertility preservation discussions should occur pre-therapy when feasible.

Bottom Line/High Yield:
• Stage IC yolk sac tumor → adjuvant BEP.  
• Observation is inadequate due to relapse risk.  
• Monitor AFP closely and counsel on BEP toxicities.
"
"14","Ovarian masses","Question: A 11-year-old with classic torsion symptoms has an ultrasound that shows preserved arterial flow but enlarged ovary with peripheral follicles. What is the best next step?","Proceed to diagnostic laparoscopy for suspected torsion","Repeat ultrasound with a different sonographer","Discharge with outpatient follow-up","Order CT abdomen/pelvis","","A","Correct Answer: A — Proceed to diagnostic laparoscopy for suspected torsion

Reasoning: Ultrasound Doppler can be misleading; arterial flow may persist early or intermittently due to dual supply, while venous outflow is often first compromised. Clinical suspicion supersedes Doppler alone. Enlarged ovary with peripheral follicles (“string of pearls”) supports torsion; prompt laparoscopy is indicated.

Why others are wrong:  
• B: Delays definitive care; torsion is time-sensitive.  
• C: Risk of ischemic loss with delay.  
• D: CT adds radiation and does not change management.

Intraoperative strategy: Detorse, preserve ovary, address associated cysts with controlled drainage or cystectomy if safe, assess contralateral side, and consider selective oophoropexy based on risk factors.

Bottom Line/High Yield:
• Clinical suspicion → laparoscopy even with arterial flow.  
• Venous compromise precedes arterial loss.  
• Preserve ovary after detorsion.
"
"15","Ovarian masses","Question: A 17-year-old with dysmenorrhea and chronic pelvic pain has a 5-cm homogeneously low-level echogenic ovarian cyst on ultrasound (“ground glass”). Markers are negative. What is the most likely diagnosis and initial management?","Endometrioma — medical management with gynecology; conservative surgery if refractory","Mature teratoma — laparoscopic cystectomy now","TOA — broad-spectrum antibiotics","Serous cystadenoma — immediate resection","","A","Correct Answer: A — Endometrioma — medical management with gynecology; conservative surgery if refractory

Reasoning: Homogeneous “ground glass” echogenicity suggests endometrioma. First-line therapy in adolescents is medical (eg, combined hormonal therapy, progestins) with gynecology. Surgery is reserved for refractory symptoms, rapid growth, or concerning features; aim for ovarian preservation and minimize cortical damage.

Why others are wrong:  
• B: Dermoids have fat/calcifications, not “ground glass” homogeneity.  
• C: TOA would have systemic signs and complex septated collections; uncommon without STI risk.  
• D: Serous cystadenomas are typically anechoic with thin walls.

Bottom Line/High Yield:
• “Ground glass” cyst → endometrioma.  
• Start with medical therapy; preserve ovarian reserve.  
• Operate selectively for refractory cases.
"
"16","Ovarian masses","Question: A 15-year-old has bilateral 6–7 cm dermoid cysts with fat and calcifications. She is asymptomatic. What is the most appropriate surgical plan?","Bilateral ovarian-sparing cystectomies using endobags, minimizing cortical damage","Bilateral salpingo-oophorectomy due to bilaterality","Staged unilateral cystectomy now and observe the other side","Percutaneous drainage of both cysts","","A","Correct Answer: A — Bilateral ovarian-sparing cystectomies using endobags, minimizing cortical damage

Reasoning: Dermoids are benign; fertility-sparing cystectomy is standard, even when bilateral. Use endobags to prevent spillage; preserve as much normal cortex as possible. Staged approaches are not necessary unless operative time or circumstances dictate; drainage alone is inadequate and risks recurrence/chemical peritonitis.

Why others are wrong:  
• B: Bilateral oophorectomy is excessive and sterilizing.  
• C: Observation is reasonable for small dermoids, but 6–7 cm lesions merit resection due to growth/torsion risk; doing both sides safely in one setting is typical.  
• D: Drainage without wall excision has high recurrence.

Bottom Line/High Yield:
• Treat bilateral dermoids with bilateral cystectomy, preserving cortex.  
• Use endobags to limit spillage.  
• Avoid oophorectomy in adolescents when feasible.
"
"17","Ovarian masses","Question: A 16-year-old athlete has an incidental 5.5-cm simple ovarian cyst and asks about playing competitive soccer this weekend. What is the best advice?","She may play; schedule repeat ultrasound in 6–8 weeks","Restrict from sports until cyst resolves","Proceed with cystectomy before returning to play","Start OCPs and allow unrestricted play","","A","Correct Answer: A — She may play; schedule repeat ultrasound in 6–8 weeks

Reasoning: Simple cysts ≤5–6 cm can be observed; no evidence mandates sports restriction for an asymptomatic physiologic cyst of this size. Provide return precautions for acute pain (possible torsion) and plan interval ultrasound.

Why others are wrong:  
• B: Blanket restriction is not evidence-based for small simple cysts.  
• C: Surgery is unnecessary for an incidental small cyst.  
• D: OCPs are not required to treat an existing cyst and do not change immediate clearance.

Bottom Line/High Yield:
• Simple ≤5–6 cm cyst → observe; sports generally okay.  
• Educate on torsion symptoms and follow up imaging.
"
"18","Ovarian masses","Question: A 13-year-old has a 9-cm solid ovarian mass. AFP is 2,500 ng/mL (elevated), β-hCG normal, LDH normal. What is the most likely diagnosis?","Yolk sac (endodermal sinus) tumor","Dysgerminoma","Mature teratoma","Granulosa cell tumor","","A","Correct Answer: A — Yolk sac (endodermal sinus) tumor

Reasoning: Markedly elevated AFP is characteristic of yolk sac tumors. Dysgerminoma typically has normal AFP and may have elevated LDH. Teratomas have normal markers; granulosa tumors elevate inhibin/estradiol.

Management: Fertility-sparing unilateral salpingo-oophorectomy with staging, avoid rupture, and adjuvant BEP for stage ≥IC or residual disease per protocols.

Bottom Line/High Yield:
• High AFP → yolk sac tumor until proven otherwise.  
• Dysgerminoma → LDH↑, AFP normal.  
• Treat with fertility-sparing resection ± BEP.
"
"19","Ovarian masses","Question: For a 10-cm complex ovarian mass suspected to be malignant based on imaging and elevated tumor markers, which statement is most accurate regarding preoperative tissue diagnosis?","Percutaneous needle biopsy is contraindicated due to seeding risk; proceed to oncologic resection","Image-guided biopsy is preferred to plan chemotherapy before surgery","Diagnostic laparoscopy with wedge biopsy is recommended","Observation with serial markers is first-line","","A","Correct Answer: A — Percutaneous needle biopsy is contraindicated due to seeding risk; proceed to oncologic resection

Reasoning: In pediatric ovarian masses with strong suspicion for malignancy, percutaneous biopsy risks tumor spillage and tract seeding and rarely changes the initial surgical approach. Proceed to therapeutic resection with fertility-sparing oncologic principles via laparotomy; histology will direct adjuvant therapy.

Why others are wrong:  
• B: Neoadjuvant chemotherapy is uncommon in primary ovarian germ cell tumors unless unresectable/bulky disease; biopsy is not routine.  
• C: Wedge biopsy of a malignant-appearing mass risks rupture and is inferior to en bloc resection.  
• D: Observation is inappropriate with convincing malignancy.

Bottom Line/High Yield:
• Avoid percutaneous biopsy in suspected malignant ovarian tumors.  
• Proceed to definitive, fertility-sparing oncologic resection and staging.
"
"20","Ovarian masses","Question: A 14-year-old with stage IA dysgerminoma underwent unilateral salpingo-oophorectomy. Which surveillance plan is most appropriate?","Serial LDH and pelvic imaging at decreasing intervals for 2–3 years with clinical exams; no adjuvant therapy","Adjuvant BEP chemotherapy followed by annual imaging only","Observation without labs or imaging after a negative first scan","Radiation therapy to the pelvis followed by LDH monitoring only","","A","Correct Answer: A — Serial LDH and pelvic imaging at decreasing intervals for 2–3 years with clinical exams; no adjuvant therapy

Reasoning: Stage IA dysgerminoma is often cured with surgery alone. Surveillance includes periodic clinical exams, LDH (± β-hCG), and pelvic imaging per protocol, with close intervals initially (eg, every 3–4 months in year 1) and spacing out to 2–3 years. Adjuvant BEP is not required in completely resected stage IA disease.

Why others are wrong:  
• B: Chemotherapy is not indicated in stage IA after complete resection.  
• C: Labs and imaging are necessary to detect early relapse.  
• D: Radiation is not standard and carries significant late toxicities.

Table: Example Follow-up (institutional protocols vary)
| Time from surgery | Clinic + labs | Imaging |
|---|---|---|
| 0–12 months | q3–4 mo (LDH ± β-hCG) | US/MRI q6 mo |
| 12–24 months | q4–6 mo | Annual |
| 24–36 months | q6–12 mo | Consider annual or as indicated |

Bottom Line/High Yield:
• Stage IA dysgerminoma → surgery alone, then surveillance.  
• Follow LDH and perform scheduled imaging.  
• Reserve BEP for higher-stage or recurrent disease.
"
